task_id,dataset,forecast_origin,seed,model_id,coverage,offdiag_edges,matrix_sha256
v1_0068_store_item_20170619_tcn_business_s29,Store Item,2017-06-19,29,tcn_business,1.0,450,2f26f301d7053aa299ee7bbadbb6015686bbed92508faef7a1902ff449843876
v1_0069_store_item_20170619_tcn_business_s47,Store Item,2017-06-19,47,tcn_business,1.0,450,2f26f301d7053aa299ee7bbadbb6015686bbed92508faef7a1902ff449843876
v1_0070_store_item_20170717_tcn_business_s13,Store Item,2017-07-17,13,tcn_business,1.0,450,5a4efc13bb3da6f7184233b80110b671e7c1b3d87f805ce90ccf2e55dc02b128
v1_0071_store_item_20170717_tcn_business_s29,Store Item,2017-07-17,29,tcn_business,1.0,450,5a4efc13bb3da6f7184233b80110b671e7c1b3d87f805ce90ccf2e55dc02b128
v1_0072_store_item_20170717_tcn_business_s47,Store Item,2017-07-17,47,tcn_business,1.0,450,5a4efc13bb3da6f7184233b80110b671e7c1b3d87f805ce90ccf2e55dc02b128
v1_0100_m5_20151207_tcn_stat_confidence_s13,M5,2015-12-07,13,tcn_stat_confidence,1.0,450,237ccec2fbbd6ea399af473deaf809ba587f8f64c46116df28ac8dfbf418f35e
v1_0101_m5_20151207_tcn_stat_confidence_s29,M5,2015-12-07,29,tcn_stat_confidence,1.0,450,237ccec2fbbd6ea399af473deaf809ba587f8f64c46116df28ac8dfbf418f35e
v1_0102_m5_20151207_tcn_stat_confidence_s47,M5,2015-12-07,47,tcn_stat_confidence,1.0,450,237ccec2fbbd6ea399af473deaf809ba587f8f64c46116df28ac8dfbf418f35e
v1_0103_m5_20160104_tcn_stat_confidence_s13,M5,2016-01-04,13,tcn_stat_confidence,1.0,450,27aa605ea25a8776e56b2844b3551bac99b86a54abe6176f1fdedc67bf1c8c9b
v1_0104_m5_20160104_tcn_stat_confidence_s29,M5,2016-01-04,29,tcn_stat_confidence,1.0,450,27aa605ea25a8776e56b2844b3551bac99b86a54abe6176f1fdedc67bf1c8c9b
v1_0105_m5_20160104_tcn_stat_confidence_s47,M5,2016-01-04,47,tcn_stat_confidence,1.0,450,27aa605ea25a8776e56b2844b3551bac99b86a54abe6176f1fdedc67bf1c8c9b
v1_0106_m5_20160201_tcn_stat_confidence_s13,M5,2016-02-01,13,tcn_stat_confidence,1.0,450,27aa605ea25a8776e56b2844b3551bac99b86a54abe6176f1fdedc67bf1c8c9b
v1_0107_m5_20160201_tcn_stat_confidence_s29,M5,2016-02-01,29,tcn_stat_confidence,1.0,450,27aa605ea25a8776e56b2844b3551bac99b86a54abe6176f1fdedc67bf1c8c9b
v1_0108_m5_20160201_tcn_stat_confidence_s47,M5,2016-02-01,47,tcn_stat_confidence,1.0,450,27aa605ea25a8776e56b2844b3551bac99b86a54abe6176f1fdedc67bf1c8c9b
v1_0109_favorita_20170301_tcn_stat_confidence_s13,Favorita,2017-03-01,13,tcn_stat_confidence,1.0,488,3d6565e1d734fd9a5dea56ad869d3e3a310159d5d83144a2c1c25169309e319b
v1_0110_favorita_20170301_tcn_stat_confidence_s29,Favorita,2017-03-01,29,tcn_stat_confidence,1.0,488,3d6565e1d734fd9a5dea56ad869d3e3a310159d5d83144a2c1c25169309e319b
v1_0111_favorita_20170301_tcn_stat_confidence_s47,Favorita,2017-03-01,47,tcn_stat_confidence,1.0,488,3d6565e1d734fd9a5dea56ad869d3e3a310159d5d83144a2c1c25169309e319b
v1_0112_favorita_20170329_tcn_stat_confidence_s13,Favorita,2017-03-29,13,tcn_stat_confidence,1.0,486,6c66febe6270f1101fe68312b95184d6558449773403aa425fde8ef2c0e3a38b
v1_0113_favorita_20170329_tcn_stat_confidence_s29,Favorita,2017-03-29,29,tcn_stat_confidence,1.0,486,6c66febe6270f1101fe68312b95184d6558449773403aa425fde8ef2c0e3a38b
